"","Group","n","prop"
"1","C1",196,28.9512555391433
"2","B",163,24.0768094534712
"3","C2",115,16.98670605613
"4","E4",102,15.0664697193501
"5","E1",63,9.30576070901034
"6","O",12,1.7725258493353
"7","D1",9,1.32939438700148
"8","D2",9,1.32939438700148
"9","G",6,0.886262924667651
"10","I",1,0.147710487444609
"11","R",1,0.147710487444609
